Length	#RawReads
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	1
217	0
218	1
219	1
220	1
221	2
222	0
223	1
224	1
225	1
226	1
227	3
228	2
229	1
230	4
231	2
232	1
233	4
234	1
235	2
236	0
237	4
238	2
239	2
240	1
241	4
242	0
243	8
244	163
245	211
246	250
247	253
248	280
249	291
250	420
251	1994
252	1981
253	2050
254	2022
255	2141
256	2036
257	2030
258	2095
259	2068
260	2039
261	2118
262	2064
263	2084
264	2109
265	2199
266	2102
267	2219
268	2109
269	2237
270	2245
271	2282
272	2283
273	2349
274	2320
275	2272
276	2290
277	2376
278	2410
279	2456
280	2388
281	2385
282	2433
283	2428
284	2470
285	2557
286	2610
287	2499
288	2624
289	2577
290	2567
291	2651
292	2575
293	2605
294	2692
295	2638
296	2723
297	2726
298	2684
299	2790
300	2850
301	2745
302	2837
303	2831
304	2910
305	2962
306	2941
307	2940
308	2939
309	3068
310	3101
311	3051
312	3117
313	3278
314	3122
315	3099
316	3275
317	3251
318	3175
319	3371
320	3345
321	3375
322	3355
323	3490
324	3408
325	3374
326	3481
327	3516
328	3560
329	3618
330	3564
331	3647
332	3673
333	3632
334	3671
335	3750
336	3774
337	3798
338	3816
339	3905
340	3994
341	4042
342	3879
343	3986
344	4062
345	4042
346	4083
347	4174
348	4257
349	4305
350	4300
351	4377
352	4426
353	4445
354	4489
355	4527
356	4558
357	4598
358	4669
359	4688
360	4641
361	4694
362	4812
363	4780
364	4901
365	4917
366	4897
367	4995
368	4995
369	5099
370	5168
371	5294
372	5323
373	5168
374	5440
375	5368
376	5392
377	5598
378	5450
379	5578
380	5540
381	5727
382	5756
383	5682
384	5911
385	5831
386	5989
387	5929
388	5988
389	6028
390	6069
391	6211
392	6164
393	6143
394	6361
395	6209
396	6310
397	6351
398	6286
399	6457
400	6577
401	6646
402	6765
403	6569
404	6756
405	6849
406	6888
407	6973
408	6959
409	7029
410	7101
411	7170
412	7264
413	7193
414	7231
415	7213
416	7363
417	7497
418	7443
419	7425
420	7409
421	7612
422	7532
423	7486
424	7428
425	7613
426	7662
427	7605
428	7648
429	7787
430	7700
431	7631
432	7773
433	7640
434	7826
435	7909
436	7891
437	7771
438	7886
439	7992
440	7848
441	8140
442	7916
443	7845
444	7910
445	7826
446	7883
447	7792
448	7737
449	7682
450	7460
451	7494
452	7505
453	7303
454	7279
455	7085
456	7110
457	6920
458	6866
459	6730
460	6515
461	6420
462	6203
463	6065
464	5808
465	5591
466	5361
467	5090
468	4774
469	4373
470	3987
471	3389
472	3410
473	3354
474	3398
475	3387
476	3329
477	3461
478	3344
479	3322
480	3385
481	3312
482	3320
483	3297
484	3297
485	3282
486	3318
487	3393
488	3455
489	3447
490	3422
491	2757
492	2239
